study_id,breed,dmi_kg,cp_g_kg,ndf_g_kg,adf_g_kg,ee_g_kg,forage_pct,body_weight_kg,milk_yield_kg,additive_type,additive_dose,ch4_g_kg_dmi,ch4_g_day
S100,Holstein,11.6,223.1,597.5,378.0,43.9,76.2,512.6,17.6,seaweed,0.51,20.4,236.7
S101,Holstein,12.96,144.7,309.6,148.0,,92.3,485.2,35.9,none,0.0,18.59,240.9
S102,Holstein,17.04,242.9,700.9,410.4,,91.7,656.2,35.3,tannin,2.12,22.36,381.1
S103,Jersey,17.17,205.2,498.6,305.6,55.7,64.9,720.3,16.9,nitrate,1.2,21.18,363.6
S104,Crossbred,15.33,64.0,179.1,89.0,52.2,92.8,546.5,28.0,3-NOP,2.33,15.58,238.8
S105,Jersey,11.07,270.3,191.2,96.6,,41.7,495.8,10.2,other,0.6,19.43,215.1
S106,Crossbred,10.14,220.1,566.4,364.1,,0.4,440.8,26.1,lipid,1.82,19.08,193.5
S107,Jersey,16.46,225.9,211.1,106.2,31.9,6.3,560.4,3.7,none,0.0,16.69,274.9
S108,Crossbred,15.2,72.0,439.5,235.6,33.2,10.9,556.0,19.6,nitrate,1.42,17.45,265.4
S109,Other,12.86,147.4,770.4,413.3,57.3,9.5,535.9,8.2,tannin,1.76,20.58,264.7
S110,Holstein,15.14,128.8,95.7,47.9,,35.2,588.3,,seaweed,1.04,14.47,219.0
S111,Holstein,15.2,258.9,104.3,63.1,,70.1,598.7,20.0,seaweed,1.9,14.57,221.5
S112,Holstein,10.74,192.7,771.3,,36.7,79.1,594.4,26.6,lipid,2.28,22.67,243.5
S113,Jersey,12.54,234.5,492.3,258.8,,59.0,556.0,16.2,tannin,1.79,18.92,237.3
S114,Holstein,12.65,145.8,179.7,110.9,,14.6,508.9,13.0,seaweed,2.35,16.3,206.1
S115,Holstein,14.84,95.2,705.9,347.7,24.3,74.8,614.9,9.1,none,0.0,21.74,322.6
S116,Crossbred,14.76,171.8,694.3,313.0,29.5,35.5,575.8,41.0,3-NOP,1.49,20.46,302.0
S117,Other,17.4,56.9,459.2,259.1,,1.3,628.3,36.0,lipid,0.83,18.56,322.9
S118,Holstein,15.08,235.7,517.7,,22.7,28.1,622.4,6.0,nitrate,1.8,21.02,316.9
S119,Holstein,10.66,189.8,279.6,128.0,57.3,33.1,489.7,33.6,none,0.0,18.05,192.3
S120,Holstein,12.71,219.4,127.5,62.7,,27.4,488.9,18.8,lipid,1.65,15.9,202.1
