rank,feature,importance,relative_importance_pct,method
1,ndf_g_kg,0.2610627649,26.10627649,XGBoost normalized split gain (not SHAP)
2,additive_type_seaweed,0.1219436928,12.19436928,XGBoost normalized split gain (not SHAP)
3,additive_dose,0.08558941337,8.558941337,XGBoost normalized split gain (not SHAP)
4,additive_type_3-NOP,0.08464329462,8.464329462,XGBoost normalized split gain (not SHAP)
5,additive_type_none,0.05874021714,5.874021714,XGBoost normalized split gain (not SHAP)
6,additive_type_lipid,0.04132886372,4.132886372,XGBoost normalized split gain (not SHAP)
7,starch_g_kg,0.03289250442,3.289250442,XGBoost normalized split gain (not SHAP)
8,adf_g_kg,0.02834627235,2.834627235,XGBoost normalized split gain (not SHAP)
9,concentrate_pct,0.02700933341,2.700933341,XGBoost normalized split gain (not SHAP)
10,forage_pct,0.02450032826,2.450032826,XGBoost normalized split gain (not SHAP)
11,ee_g_kg,0.02383607206,2.383607206,XGBoost normalized split gain (not SHAP)
12,breed_Jersey,0.01963172921,1.963172921,XGBoost normalized split gain (not SHAP)
13,starch_g_kg_was_missing,0.01790012138,1.790012138,XGBoost normalized split gain (not SHAP)
14,milk_yield_kg_was_missing,0.01660561649,1.660561649,XGBoost normalized split gain (not SHAP)
15,additive_type_tannin,0.0155792092,1.55792092,XGBoost normalized split gain (not SHAP)
16,breed_Holstein,0.01510870863,1.510870863,XGBoost normalized split gain (not SHAP)
17,milk_per_kg_dmi,0.0144621248,1.44621248,XGBoost normalized split gain (not SHAP)
18,milk_yield_kg,0.01322150636,1.322150636,XGBoost normalized split gain (not SHAP)
19,additive_type_other,0.01312506932,1.312506932,XGBoost normalized split gain (not SHAP)
20,cp_g_kg,0.01277840863,1.277840863,XGBoost normalized split gain (not SHAP)
21,body_weight_kg,0.01256072732,1.256072732,XGBoost normalized split gain (not SHAP)
22,adf_g_kg_was_missing,0.01155367578,1.155367578,XGBoost normalized split gain (not SHAP)
23,additive_type_nitrate,0.00909689035,0.909689035,XGBoost normalized split gain (not SHAP)
24,lactating,0.008912897597,0.8912897597,XGBoost normalized split gain (not SHAP)
25,breed_Crossbred,0.008447799426,0.8447799426,XGBoost normalized split gain (not SHAP)
26,dmi_kg,0.008009589706,0.8009589706,XGBoost normalized split gain (not SHAP)
27,ee_g_kg_was_missing,0.0067682654,0.67682654,XGBoost normalized split gain (not SHAP)
28,breed_Other,0.006344903303,0.6344903303,XGBoost normalized split gain (not SHAP)
